dataset,commit,verdict,detail,rows_before,rows_after,rows_changed,columns_lost,columns_added,skipped
electricsheepafrica/Age-Standardized-Prevalence-Of-Hypertension-Among-for-African-Countries,ab7e85090dd0ccd54e06c14c1a76b64eb70c7d98,adds-columns,no row lost; derivability of the added columns needs a human,0,30,0,,Year; Algeria; Angola; Benin; Botswana; Burkina Faso; Burundi; Cabo Verde; Cameroon; Central African Republic; Chad; Comoros; Congo; Côte d'Ivoire; Democratic Republic of the Congo; Djibouti; Egypt; Equatorial Guinea; Eritrea; Eswatini; Ethiopia; Gabon; Gambia; Ghana; Guinea; Guinea-Bissau; Kenya; Lesotho; Liberia; Libya; Madagascar; Malawi; Mali; Mauritania; Mauritius; Morocco; Mozambique; Namibia; Niger; Nigeria; Rwanda; Sao Tome and Principe; Senegal; Seychelles; Sierra Leone; Somalia; South Africa; South Sudan; Sudan; Togo; Tunisia; Uganda; United Republic of Tanzania; Zambia; Zimbabwe,
electricsheepafrica/Age-Standardized-Prevalence-Of-Tobacco-Use-Among-for-African-Countries,c49666269fe908fb5f4994005e47acaa42ac9318,adds-columns,no row lost; derivability of the added columns needs a human,0,10,0,,Year; Algeria; Benin; Botswana; Burkina Faso; Burundi; Cabo Verde; Cameroon; Chad; Comoros; Congo; Côte d'Ivoire; Democratic Republic of the Congo; Egypt; Eswatini; Ethiopia; Gambia; Ghana; Guinea-Bissau; Kenya; Lesotho; Liberia; Madagascar; Malawi; Mali; Mauritania; Mauritius; Morocco; Namibia; Niger; Nigeria; Rwanda; Sao Tome and Principe; Senegal; Seychelles; Sierra Leone; South Africa; Togo; Tunisia; Uganda; United Republic of Tanzania; Zambia; Zimbabwe,
electricsheepafrica/Agestandardized-Prevalence-Of-Obesity-Among-Adults-for-African-Countries,fd71351d6a8e41fb88bdc532ac547d294e765edc,no-tabular-change,the commit touched no file this check can read,,,,,,
electricsheepafrica/age-standardized-suicide-ratesby-sex-for-african-countries,dd25dbc6ec328ee3da0cceeae47084986ecbb909,adds-columns,no row lost; derivability of the added columns needs a human,0,20,0,,Year; algeria_female; algeria_male; angola_female; angola_male; benin_female; benin_male; botswana_female; botswana_male; burkina-faso_female; burkina-faso_male; burundi_female; burundi_male; cabo-verde_female; cabo-verde_male; cameroon_female; cameroon_male; central-african-republic_female; central-african-republic_male; chad_female; chad_male; comoros_female; comoros_male; congo_female; congo_male; c-te-d-ivoire_female; c-te-d-ivoire_male; democratic-republic-of-the-congo_female; democratic-republic-of-the-congo_male; equatorial-guinea_female; equatorial-guinea_male; eritrea_female; eritrea_male; eswatini_female; eswatini_male; ethiopia_female; ethiopia_male; gabon_female; gabon_male; gambia_female; gambia_male; ghana_female; ghana_male; guinea_female; guinea_male; guinea-bissau_female; guinea-bissau_male; kenya_female; kenya_male; lesotho_female; lesotho_male; liberia_female; liberia_male; madagascar_female; madagascar_male; malawi_female; malawi_male; mali_female; mali_male; mauritania_female; mauritania_male; mauritius_female; mauritius_male; mozambique_female; mozambique_male; namibia_female; namibia_male; niger_female; niger_male; nigeria_female; nigeria_male; rwanda_female; rwanda_male; sao-tome-and-principe_female; sao-tome-and-principe_male; senegal_female; senegal_male; seychelles_female; seychelles_male; sierra-leone_female; sierra-leone_male; south-africa_female; south-africa_male; south-sudan_female; south-sudan_male; togo_female; togo_male; uganda_female; uganda_male; united-republic-of-tanzania_female; united-republic-of-tanzania_male; zambia_female; zambia_male; zimbabwe_female; zimbabwe_male,
NLPLabNTUST/Merged-CWA,3af832f28129d44df58b0c11ecd101498e23061a,no-tabular-change,the commit touched no file this check can read,,,,,,
NLPLabNTUST/Merged-CWA,017f29e4a04ee59b46e52a53d74f50ffd542bd3f,no-tabular-change,the commit touched no file this check can read,,,,,,
NLPLabNTUST/Merged-CWA,406340288ba9836112f0724e083c568ab8f00c4e,no-tabular-change,the commit touched no file this check can read,,,,,,
NLPLabNTUST/Merged-CWA,8f0679e030f3c0c8a928e8fa46d4b13c7de2669b,no-tabular-change,the commit touched no file this check can read,,,,,,
bhaskars113/113-go-emotions-merge,b02e66d064b68624e3b0d65125b730c8e3fb90c2,adds-columns,no row lost; derivability of the added columns needs a human,0,1178,0,,text; admiration; amusement; anger; annoyance; approval; caring; confusion; curiosity; desire; disappointment; disapproval; disgust; embarrassment; excitement; fear; gratitude; grief; joy; love; nervousness; optimism; pride; realization; relief; remorse; sadness; surprise; neutral; contempt,
newvikova/Mining_WB,188581a96389343e86cd0ea7d44a92f2cd236ce1,unreadable,no readable tabular file at either revision,,,,,,merged_wildberries_data_full.csv:lfs-pointer
ada-datadruids/merged_movies_books_cleaned,ca99c474cb275252ca1018cba8dde29211093f7a,adds-columns,no row lost; derivability of the added columns needs a human,0,1863,0,,; movie_id; movie_cluster; movie_name; release_date; budget; runtime_x; language; country; genres; movie_year; index; id; BookTitle; BookYear; Author; full name; tmdb_id; id_goodreads; imdbid; runtime_y,
Puch/children_movies,1c33bd163cf80626557607fd0c8302da31690b26,unreadable,no readable tabular file at either revision,,,,,,merged_fr_en_data.csv:no-delimiter
Jahnavi9086/llmprompts,224c00297465d983c59cd6dd4a353b81f106672a,unreadable,no readable tabular file at either revision,,,,,,merged_languages.csv:lfs-pointer
n3p7un/KitsuneSystemAttackData_osScanDataset,66994ef5b5214f738a3d36ec06129b6cc9d39021,unreadable,no readable tabular file at either revision,,,,,,OS Scan-dataset_labels.csv:lfs-pointer
dp011/test4,36efdb4d4cedd05142a2bcc9c9bdaaba8f1b9d55,unreadable,no readable tabular file at either revision,,,,,,merged_labeled_test.csv:lfs-pointer
zyllab/TTMs_on_MG,6737bdc5aa797d4d2cb733cd8a81a05851035bf4,unreadable,no readable tabular file at either revision,,,,,,merged_full_dset.csv:lfs-pointer
caiyan123/open-close-drawer-csv,f7e8556b1bbcb7405a197ee3ef319c6ca4516c1b,unreadable,no readable tabular file at either revision,,,,,,merged_open_close_drawer.csv:lfs-pointer
smksaha/apt-eval,ee521e264a7ef8567f74e56e5d9c95d2bcb48859,no-tabular-change,the commit touched no file this check can read,,,,,,
isaacmuscat/merged_org_project_data,397909bf37b5947f70906c5b792b1d29b34b5a73,unreadable,no readable tabular file at either revision,,,,,,merged_organization_project_data.csv:lfs-pointer
BestiVictoryLab/VADB,7b66fc13a50232ec7d83d1b7c3ccda822e369931,no-tabular-change,the commit touched no file this check can read,,,,,,
yousry10/goHunt_JBG,771c382348c1c907ce0da26da751c0502bac4ce3,unreadable,no readable tabular file at either revision,,,,,,merged_shuffled_responses_new.csv:no-delimiter
yousry10/goHunt_JBG,837334abab3eda11abb7ef5752b0b2080c5e3bfa,unreadable,no readable tabular file at either revision,,,,,,merged_shuffled_responses_new.csv:no-delimiter
xaheli/HMDA_LAR_2017-23,d2a00a0f8a29f781a5f030c2ecb0af9e1e2f69fe,no-tabular-change,the commit touched no file this check can read,,,,,,
Nitin12032004/Jobs_Dataset,1be1930daf4338bc143b425b5421f376ae679997,unreadable,no readable tabular file at either revision,,,,,,Merged_data2.csv:lfs-pointer
caiyan123/merged_other_task,bfe1beee6ece7dba267fb8090a58d90b6b20bc80,unreadable,no readable tabular file at either revision,,,,,,merged_other_task.csv:lfs-pointer
RiTA-nlp/UINAUIL,21f5574c4c1117f5db411894a323d408d44fccb4,no-tabular-change,the commit touched no file this check can read,,,,,,
JailbreakBench/JBB-Behaviors,d72ab3e281eca79247dbeee237dcb5a74cfa3f9b,columns-lost,"every row survives, but 1 column(s) do not",500,500,0,,Index,
oskarvanderwal/SHADR,4ebe169a598712868e5bc01c77c8b5c83bce9795,columns-lost,"every row survives, but 1 column(s) do not",716,716,0,category,subset,
copenlu/llm-pct-tropes,a2bfe6b1c1936521c5e6cf17faf4d9424d5ddbac,no-tabular-change,the commit touched no file this check can read,,,,,,
Metin/WikiRAG-TR,8bff95e7bccf2427ff573a01c2f84dd168a25c46,unreadable,no readable tabular file at either revision,,,,,,data/train.csv:lfs-pointer
MICS-Lab/novae,42dbf59f6057086344d7192a3c7e487f2cba0ce5,values-rewritten,"row count holds at 28, but 3 row(s) changed value in a shared column",28,28,3,,,
gsarti/qe4pe,200f47f53685fd2e7bcb53c9a6f6a313bb383fbe,adds-columns,no row lost; derivability of the added columns needs a human,1944,1944,0,,has_issue,
seanvelasco/tiktok-middle-east-conflict-philippines,be60e04f81e43b7c2b10aecfad54c0773ed4b648,unreadable,no readable tabular file at either revision,,,,,,tiktok-mde-conflict-ph.csv.csv:lfs-pointer
launch/FactBench,09fe4799f58c43e3621f6b9c94a0d21f46faa320,columns-lost,"every row survives, but 1 column(s) do not",1000,1000,0,topic_id,,
ada-datadruids/TMDB_movie_dataset_reduced,7f295e1c82a4b8b994eb5b5d5dda3c11ddeb1251,unreadable,no readable tabular file at either revision,,,,,,TMDB_movie_dataset_reduced.csv:lfs-pointer
science-of-finetuning/diffing-stats-gemma-2-2b-crosscoder-l13-mu4.1e-02-lr1e-04,c92bb4f004191913b6067128eece8dd17a2bc794,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
science-of-finetuning/diffing-stats-gemma-2-2b-crosscoder-l13-mu4.1e-02-lr1e-04,f6e90b5746f719f2a157e5a3b41669607012c0e4,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
science-of-finetuning/max-activating-examples-gemma-2-2b-l13-ckissane,a0d69b01b4d56ed29d5e359f59de2f3436a296bf,adds-columns,no row lost; derivability of the added columns needs a human,16384,16384,0,,cosim_component_sizes_base; cosim_component_sizes_chat,
DrewLab/hu.MAP_3.0,8cdd89d5ffc6ba3fcd44b21980c110e7fcd510f5,unreadable,no readable tabular file at either revision,,,,,,test/humap3_test_feature_matrix_20220625.csv.gz:lfs-pointer; train/humap3_train_feature_matrix_20220625.csv.gz:lfs-pointer
science-of-finetuning/diffing-stats-gemma-2-2b-L13-k100-lr1e-04-local-shuffling-CCLoss,457104b79dc236ff39f4787953ea6c2f59869fef,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
Mostafa3zazi/wonders_testing_dataset,daa0071922a2e8bc228e32066f31daeaa6a5d84d,rows-dropped,"2 fewer row(s) after, 2 tuple(s) not carried over",10010,10008,2,,Unnamed: 0,
bumbledeep/distrowatch-reviews,66cc78078f5e061dc05a8a81b8886bef1a28ecfd,columns-lost,"every row survives, but 1 column(s) do not",7204,7204,0,,,
anonymous-user-546/test-csv-conversion,ecd88d7bb263a0c00ffc23b179cdda3de631d9aa,adds-columns,"no row lost; derivability of the added columns needs a human; 8 file(s) unread, so this is not a clean bill",89311,89311,0,,; sampling_type,ne-america/ne-america_test_id.csv:lfs-pointer; ne-america/ne-america_test_ood_local.csv:lfs-pointer; ne-america/ne-america_train_aux.csv:lfs-pointer; ne-america/ne-america_train_id.csv:lfs-pointer; w-europe/w-europe_test_id.csv:lfs-pointer; w-europe/w-europe_test_ood_local.csv:lfs-pointer; w-europe/w-europe_train_aux.csv:lfs-pointer; w-europe/w-europe_train_id.csv:lfs-pointer
science-of-finetuning/diffing-stats-Meta-Llama-3.1-8B-L16-k222-lr1e-04-local-shuffling-Decoupled,c428c130224ade6ba1abf55ccf820b41b30ea437,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
abinitha/MedPerturb,51995798d8d8fbcc9345be195f0b70b4ea3913d7,columns-lost,"every row survives, but 2 column(s) do not",800,800,0,Unnamed: 0.1; Unnamed: 0,Index,
science-of-finetuning/diffing-stats-Llama-3.2-1B-L8-mu3.0e-02-lr1e-04-local-shuffling-CrosscoderLoss,6cfaa31d180304af1c966e497296563844649e79,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
science-of-finetuning/diffing-stats-Llama-3.2-1B-L8-k100-lr1e-04-local-shuffling-Crosscoder,94b7e3852af6826953895dae54e082c1ce561412,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
kaistdata/RDB2G-Bench,798486de2c590d206aa328a076b2719e43a7184b,columns-lost,"every row survives, but 9 column(s) do not",286835,286835,0,train_mae; val_mae; test_mae; train_link_prediction_map; val_link_prediction_map; test_link_prediction_map; train_roc_auc; val_roc_auc; test_roc_auc,train_metric; valid_metric; test_metric,
science-of-finetuning/diffing-stats-Meta-Llama-3.1-8B-L16-k200-lr1e-04-local-shuffling-Crosscoder-ni0.3-ka1k5k,606a1f9fd21380ae9e4c701fb83f7c57cc35510e,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-lr1e-04-local-shuffling,ec497e70150c9670c7ae54efb41a0e66df8cd94b,adds-columns,no row lost; derivability of the added columns needs a human,73728,73728,0,,beta_activation_base; beta_activation_chat; beta_activation_ratio,
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-x8-lr1e-04-local-shuffling,0a56944eea2cb3a7290245069b933f43c73d9d14,adds-columns,no row lost; derivability of the added columns needs a human,18432,18432,0,,beta_activation_base; beta_activation_chat; beta_activation_ratio,
anasmakki/thyroidDFBalanced,4ffec691dae5734997a7d21ab4d46000d7b80297,values-rewritten,"row count holds at 20301, but 20301 row(s) changed value in a shared column",20301,20301,20301,,,
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-x1-lr1e-04-local-shuffling,e24792ee76dd4c0148700737086c010c7240109a,values-rewritten,"row count holds at 2304, but 2304 row(s) changed value in a shared column",2304,2304,2304,,,
science-of-finetuning/diffing-stats-SAE-base-gemma-2-2b-L13-k100-x32-lr1e-04-local-shuffling,e83acd944abf7427ce76bd5ef142e197b8ee4ecf,values-rewritten,"row count holds at 73728, but 66704 row(s) changed value in a shared column",73728,73728,66704,,,
raniaaara/rose-dataset-with-acu,562276570ac838fe6c4940f5f904342fe231591f,unreadable,no readable tabular file at either revision,,,,,,small_subset_data_with_acu_all.csv:no-delimiter
SageLabUHN/DT_Lung_Demo_Data,5273d996344f4c5ca1a2de1a05e56419cc43175f,unreachable,commit not in repository,,,,,,
science-of-finetuning/diffing-stats-gemma-2-2b-it-Meditron3-L16-mu3.8e-02-lr1e-04-local-shuffling-CCLoss,680677e9d89e54d47d26ae76c3165f9bbfc13185,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
science-of-finetuning/diffing-stats-R1dist-Qwen-1.5B-Nemotron-L16-k100-lr1e-04-local-shuffling-CCLoss,197357f0a87b1a80259a9b4bb4c6ab3f6d5dd617,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
rcade/amharic_words,4511dced74e3ab3c8fd3a615dbf66be9685527ff,no-tabular-change,the commit touched no file this check can read,,,,,,
mattrichmo/NetFlix-Imdb-Engagements-Films,9d331d08f1383a9b2a7083f4acbb678a89227a50,adds-columns,no row lost; derivability of the added columns needs a human,0,6746,0,,parentUUID; rawTitle; cleanTitle; secondaryLanguageTitle; totalHoursWatched; imdbMatchedTitle; imdbMatchConfidence; imdbLink; imdbGenres; imdbType; imdbUserRating; imdbNumRatings; directorCount; writerCount; castCount; producerCount; composerCount; cinematographerCount; editorCount; castingDirectorCount; artDirectorCount; setDecoratorCount; costumeDesignerCount; makeUpDepartmentCount; productionManagerCount; assistantDirectorCount; artDepartmentCount; soundDepartmentCount; stuntsCount; cameraDepartmentCount; costumeDepartmentCount; editorialDepartmentCount; musicDepartmentCount; scriptDepartmentCount; miscellaneousCrewCount,
Aharneish/cleaned_qa,dd4d1105058ea5f844111b6bec9a7a8efce450e7,adds-columns,no row lost; derivability of the added columns needs a human,8389,8389,0,,,
Cleanlab/databricks-dolly-15k-cleanset,70130fbf5037019481c4e9fdab93254fc6c1e3b8,unreadable,no readable tabular file at either revision,,,,,,databricks-dolly-15k-cleaned.csv:no-delimiter
cladsu/COSER-2024,f6a68ab6badd610c8a724868ab97333ee6e428f6,unreadable,no readable tabular file at either revision,,,,,,CLEAN_df_hack_full.csv:lfs-pointer; df_hackathon.csv:lfs-pointer
shamotskyi/ua_cbt_stories,7674bb8ad2483fc30bd6b2d35eec2ffca1287448,unreadable,no readable tabular file at either revision,,,,,,data/batch_1.csv:no-delimiter; data/batch_2.csv:no-delimiter; data/batch_3.csv:no-delimiter; data/dataset.csv:no-delimiter; data/few_shot_split.csv:no-delimiter
ritzfy/2019_Major_Indian_Airlines_Data,b234f06fec29661b7bdf7d2680c9979698e4abe4,adds-columns,no row lost; derivability of the added columns needs a human,0,10683,0,,; Total_Stops; Price; Airline_Air India; Airline_GoAir; Airline_IndiGo; Airline_Jet Airways; Airline_Jet Airways Business; Airline_Multiple carriers; Airline_SpiceJet; Airline_Trujet; Airline_Vistara; Source_Chennai; Source_Delhi; Source_Kolkata; Source_Mumbai; Destination_Cochin; Destination_Delhi; Destination_Hyderabad; Destination_Kolkata; Destination_New Delhi; Day; Month; TotalTime; day_of_week_Monday; day_of_week_Saturday; day_of_week_Sunday; day_of_week_Thursday; day_of_week_Tuesday; day_of_week_Wednesday; dep_timezone_Morning; dep_timezone_Afternoon; dep_timezone_Evening; arrival_timezone_Morning; arrival_timezone_Afternoon; arrival_timezone_Evening; Additional_Info_1 short layover; Additional_Info_2 long layover; Additional_Info_business class; Additional_Info_change airports; Additional_Info_in-flight meal not included; Additional_Info_no check-in baggage included; Additional_Info_red-eye flight,
hscrown/seoul_museums,971c0f92e744def9d2fba5d26cdcce86692d79a6,no-shared-columns,column names share nothing; compare by hand,175,0,0,½Ã¼³¸í; ¹Ú¹°°ü¹Ì¼ú°ü±¸ºÐ; ÁÖ¼Ò; ¿î¿µ±â°üÀüÈ­¹øÈ£; À§µµ; °æµµ,,
cmudrc/Material_Selection_Eval,505917956022c09aad4b676f5567a820ccbbfc0c,preserves,"same rows, same columns",67,67,0,,,
sajeelkazmi/PakistanBiggestEcommerceDatasetCleaned,b317af712b7186fa77d4351349126f09488efd6a,unreadable,no readable tabular file at either revision,,,,,,Pakistan Biggest Ecommerce Analysis-Ready Dataset.csv:lfs-pointer
EspinoFernando/Essays,ee50dcf2abd86c17469866404eef1c0fefec1879,unreadable,no readable tabular file at either revision,,,,,,clean_data.csv:no-delimiter
TeamVioletEdifai/cleanedYelpData,72a88eb0428f75832525f752ec5972561c4dd90c,unreadable,no readable tabular file at either revision,,,,,,cleaned_yelp_reviews(2).csv:lfs-pointer
VerbACxSS/s-ItaIst,9e8a8811b927e571bda455b07cfa5ad11f6062a6,no-tabular-change,the commit touched no file this check can read,,,,,,
VerbACxSS/s-ItaIst,be0f5fc47eec73ab50847d7b38ae134cbb5b2dde,no-tabular-change,the commit touched no file this check can read,,,,,,
naabiil/heart_dataset,c6321d8b91a3a25168237dc38395e1bd942735d6,adds-columns,no row lost; derivability of the added columns needs a human,0,1888,0,,age; sex; cp; trestbps; chol; fbs; restecg; thalachh; exang; oldpeak; slope; ca; thal; target,
Allen0307/LLMAgent,243c4abf7e43a99a07f82df41e3b599c00c9c0a7,adds-columns,no row lost; derivability of the added columns needs a human,0,200,0,,conversations; reward; ground_truth; source,
Allen0307/LLMAgent,b9b22d9e63239c309308781e1ae6811be44406a7,no-shared-columns,column names share nothing; compare by hand,4,0,0,conversations; reward; ground_truth; source,,
lynethmendoza/energy-usage-dataset,af1177686e43b870464e199608b77de4ccf7d49b,preserves,"same rows, same columns",6803,6803,0,,,
Pcitycrypto/xauusd,404e16e5ab2cd2630a1681238de9473a206fa7ee,unreadable,no readable tabular file at either revision,,,,,,XAUUSD_1m.csv:lfs-pointer
Mynac/court-booking-data,ee5d796f176ef876be08753bbe492f04dfa9516e,adds-columns,no row lost; derivability of the added columns needs a human,0,1054,0,,RV Date; Weekday; Reservation ID; Court; Type ; Hr; Receipt No; Name; Start Time; End Time; time Block; Amount,
ahruf/DrugFormDB,ba4fc670c501dd680d2f5ce1aaf097fd576b7386,no-tabular-change,the commit touched no file this check can read,,,,,,
Anupam007/indian-recipe-dataset,12a8cda64780a28337525ba73b3ffc2881edbe35,unreadable,no readable tabular file at either revision,,,,,,Cleaned_Indian_Food_Dataset.csv:lfs-pointer
Anupam007/Indian_recipe1,400fa202962c409939759e9392eaf9d5c109bfc0,unreadable,no readable tabular file at either revision,,,,,,Cleaned_Indian_Food_Dataset.csv:lfs-pointer
drdholu/clean-dim-sim,648b41b0a80b1b9977bc869ac244ab13912cda91,adds-columns,no row lost; derivability of the added columns needs a human,0,879,0,,triplet_id; anchor_id; anchor_start_seconds; anchor_start_samples; song1_id; song1_start_seconds; song1_start_samples; song2_id; song2_start_seconds; song2_start_samples; sampling_rate; clip_lengths_seconds; clip_lengths_samples; song1_vote; song2_vote,
Anupam007/diabetic-food-analyzer,5d5154aba3d35d939282c711690a5c85445bfdd0,no-shared-columns,column names share nothing; compare by hand,1070,0,0,food_name; primarysource; carb_g; servings_unit; glycemic_index; unit_serving_carb_g,,
Anupam007/diabetic-food-analyzer,5f90f7bd5292054a9e87bfa5b954f3c901f656d5,no-shared-columns,column names share nothing; compare by hand,1070,0,0,food_name; primarysource; carb_g; servings_unit; Glycemic Index; unit_serving_carb_g,,
Anupam007/diabetic-food-analyzer,d9fd399972bd535291dd83e6d42cfd5e22041632,no-shared-columns,column names share nothing; compare by hand,1066,0,0,food_name; primarysource; carb_g; servings_unit; unit_serving_carb_g,,
Anupam007/diabetic-food-analyzer,4f9ea234cb88a2e6ce30449bf6980a476424a200,no-shared-columns,column names share nothing; compare by hand,1065,0,0,food_name; primarysource; carb_g; servings_unit; unit_serving_carb_g,,
scbirlab/thomas-2018-spark-wt,1c780ca202d4719d163690b93f954504e30c38ca,no-tabular-change,the commit touched no file this check can read,,,,,,
bumbledeep/distrowatch-reviews,e0f3cb0b188ab1da77017aeacdc2679e1479b8e3,values-rewritten,"row count holds at 7204, but 5076 row(s) changed value in a shared column",7204,7204,5076,,,
Digital-Dermatology/CleanPatrick,e77eeed7b253005bc054e89743fb2929e2869055,no-tabular-change,the commit touched no file this check can read,,,,,,
sociallifethree/dev-semsiye-kiralama-olculeri-ve-modern-tasarimlar,290550d1fceaf8869ab85713ed8bd64468c9165f,adds-columns,no row lost; derivability of the added columns needs a human,0,9242,0,,uid; asset_name; class; date; id; latitude; longitude; path; row; season,
onyxsarah/ASU_website,e2afd14fe80240928bf99fd879d67b9f7704fc04,unreadable,no readable tabular file at either revision,,,,,,cleaned_ASU_webpage_04_07_2025.csv:lfs-pointer
KpopBarbie/survey-ai-vs-human,6ab615e80e9fbbc5687c209d5ab55aa4d403faf1,adds-columns,no row lost; derivability of the added columns needs a human,0,13,0,,Timestamp; Age; Profession; Country; AI_Usage_Frequency; AI_Tools_Used; AI_Usage_Area; Productivity_Impact; Work_Quality_Impact; AI_Reliability; Ai_Stakeholder_Task_Trust_Level; AI_Desired_Answer; AI_tool_training; AI_Accuracy; AI_Concerns; Biased_Results_Frequency; Feelings_High_Stakes_AI; AI_Failure_Experience; Importance_Knowing_AI_vs_Human; Trust_AI_vs_Human; Trust_Factors; Factcheck_Reason; Factcheck_Impact,
tahabou/HVDC-SIMULATED-FAULTS-FINAL-COMBINED,5a3eccd2924c773f23d96777e616f79cb5ef3cd2,unreadable,no readable tabular file at either revision,,,,,,cleaned_data.csv:lfs-pointer
SilverDragon9/Password-Detection-Dataset,51e8a61a486a8063e975477fabaf15ded0e1594a,unreadable,no readable tabular file at either revision,,,,,,cleanpasswordlist(modified).csv:lfs-pointer
AmeliaCMU/Amelia-10,07cd3f43e4e6eae461846f15c077e894ff28bd36,no-tabular-change,the commit touched no file this check can read,,,,,,
jedha0padavan/glassdoor-reviews-tokenized,d1bc669852b3aa3c6c21542cd145c159e9acd95b,unreadable,no readable tabular file at either revision,,,,,,cleaned_reviews_for_nlp_analysis.csv:lfs-pointer
PbI4a/Case_7,656198f91d4290c6dd30d0b41fb29e817b27dfcb,unreadable,no readable tabular file at either revision,,,,,,clean_reviews.csv:lfs-pointer
nissenbaumbrad/healthcareProjectData,ed9377131f7d5e6de14059988b286a47569f8054,adds-columns,no row lost; derivability of the added columns needs a human,0,1746,0,,index; ENCOUNTER_ID; CLINICAL_NOTES; BIRTHDATE; FIRST; START; STOP; PATIENT_ID; DESCRIPTION; BASE_ENCOUNTER_COST; TOTAL_CLAIM_COST; PAYER_COVERAGE; REASONDESCRIPTION; PATIENT_AGE; DESCRIPTION_OBSERVATIONS; DESCRIPTION_CONDITIONS; DESCRIPTION_MEDICATIONS; DESCRIPTION_PROCEDURES; ENCOUNTERCLASS_ambulatory; ENCOUNTERCLASS_emergency; ENCOUNTERCLASS_home; ENCOUNTERCLASS_hospice; ENCOUNTERCLASS_inpatient; ENCOUNTERCLASS_outpatient; ENCOUNTERCLASS_snf; ENCOUNTERCLASS_urgentcare; ENCOUNTERCLASS_virtual; ENCOUNTERCLASS_wellness,
mizzony/DNS_anomaly_wireshark,baefc74aa3b82729deacbe9e20d9c12465afeb14,unreadable,no readable tabular file at either revision,,,,,,Clean_DNS_Capstone.csv:lfs-pointer
ohdoking/energy_consumption_by_model_and_gpu,0d8220bf751975cd4833dca6a7f7777240f98ba6,no-tabular-change,the commit touched no file this check can read,,,,,,
almaqbalim/BikeShare,2cc7863408dfd1ab6218b6027515fb8f2a846a6f,unreadable,no readable tabular file at either revision,,,,,,dataset.csv:lfs-pointer
dgervais/patient-doctor,404a3478683814f3c968703b3dd897b3ca934674,adds-columns,no row lost; derivability of the added columns needs a human,0,5634,0,,; text; label; doctor_name; patient_satisfaction; text_lower; text_no_stopwords; text_lemmatized,
cisosdm/SatBirdxsPlotOpen,c85af941aa40e1cecc7e24c2ea4308ea20a27f04,columns-lost,"every row survives, but 1 column(s) do not",401,401,0,,,satbird_splots_train_split.csv:lfs-pointer
SanatRao/cleaned_scaled_fire_data.csv,ef93461c9e0c5229f96e8c4180d34b998f728bd1,unreadable,no readable tabular file at either revision,,,,,,cleaned_fire_data.csv:lfs-pointer
KeshavBanka/Cocvid,54b1a9a1a50d4f0b7deecf457c78e28a4685e7e2,unreadable,no readable tabular file at either revision,,,,,,Covid Data Cleaned.csv:lfs-pointer
the-cramer-project/kyrgyz_MNIST,5f3f80e7d8937e37b1f0d61cae08d309a9ecbd12,no-parent,"root commit, nothing to compare against",,,,,,
souljaboi6801/non_duplicates,f04837106fb7bb2d3a2b27d3951dbc95b3f0c953,adds-columns,no row lost; derivability of the added columns needs a human,0,5000,0,,Account; Date; Amount; Description; Location; Category; is_duplicate,
lllaurenceee/Shopee_Bicycle_Reviews,47f3c1136490cedbd29be436ceca5f9b7bc5274e,unreadable,no readable tabular file at either revision,,,,,,Dataset_D_Duplicate.csv:lfs-pointer
shaily99/eecc,4b466a3047386444212b12cb5de1301ef8aeb6b2,rows-dropped,"2 fewer row(s) after, 2 tuple(s) not carried over",347,345,2,,,
joelkoch/rag_eval,9d9b906d462be9e5f2926eace7a30a7d5780027e,unreadable,no readable tabular file at either revision,,,,,,phoenix.csv:no-delimiter
science-of-finetuning/diffing-stats-gemma-2-2b-crosscoder-l13-mu4.1e-02-lr1e-04,9f6cf9db169ae96cb3e3a5c16018cbca065cbea5,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
Disclosures-SSRC/AI-Safety_Reliability_Reseach,70216948378db7984e70d094c5751784a67cbfe4,unreadable,no readable tabular file at either revision,,,,,,data_merged_classified_deduplicated_FINAL.csv:lfs-pointer
dangvantuan/IEEE-118_overload,c2e4b7b384c998861503f49383ec589efc543d26,no-tabular-change,the commit touched no file this check can read,,,,,,
abullard1/steam-reviews-constructiveness-binary-label-annotations-1.5k,81aa3532aa03f95431016f996efb0d3e55e6c6c7,adds-columns,no row lost; derivability of the added columns needs a human,0,1461,0,,text; label,
shaily99/eecc,590a959acac186bee6f3eac7127cb59d71f77dc3,no-tabular-change,the commit touched no file this check can read,,,,,,
